metric,value,unit,origin
illustrative_lstar_full,23.6745761292,rad_per_mps,synthetic_analytical_illustration
illustrative_lstar_near_blind,535.784609,rad_per_mps,synthetic_analytical_illustration
illustrative_lstar_ratio_near_blind_to_full,22.6312228813,ratio,synthetic_analytical_illustration
illustrative_task_response_full,2.36745761292,rad,synthetic_analytical_illustration
illustrative_task_response_near_blind,0.2678923045,rad,synthetic_analytical_illustration
illustrative_task_response_projected_blind,0.2678923045,rad,synthetic_analytical_illustration
full_metric_worst_norm,0.1,mps,synthetic_analytical_illustration
near_blind_metric_worst_norm,0.0005,mps,synthetic_analytical_illustration
projected_metric_blind_norm,4.2216073149e-16,mps,synthetic_analytical_illustration
kernel_inclusion_full,1,boolean,synthetic_analytical_illustration
kernel_inclusion_ill_conditioned,1,boolean,synthetic_analytical_illustration
kernel_inclusion_projected,0,boolean,synthetic_analytical_illustration
ill_conditioning_epsilon,0.005,ratio,synthetic_analytical_illustration
state_rmse,0.1,mps,synthetic_analytical_illustration
n_depth,201,count,synthetic_analytical_illustration
n_kernels,12,count,synthetic_analytical_illustration
n_resolved_modes,4,count,synthetic_analytical_illustration
range_m,20000,m,synthetic_analytical_illustration
frequency_hz,500,Hz,synthetic_analytical_illustration
