macro,value,format
StudyCount,142,int
ConfigurationCount,92,int
ConfigurationStudyCount,83,int
MultiConfigStudyCount,9,int
IndependentRecodingStudyCount,142,int
IndependentCoderAConfigCount,95,int
IndependentCoderBConfigCount,96,int
HumanRecodingMatchedStudyCount,72,int
HumanRecodingMatchedConfigCount,82,int
StudyBearingAgreement,0.978873,.3f
StudyBearingKappa,0.956804,.3f
ConfigurationCountAgreement,0.922535,.3f
ConfigurationCountKappa,0.867086,.3f
ConfigurationCountMeanAbsDiff,0.077465,.3f
ConfigNAgreement,0.878049,.3f
ConfigNKappa,0.803922,.3f
ClosestReviewCount,9,int
PeerReviewedCount,126,int
PreprintCount,10,int
OtherRecordCount,6,int
SettingD,63,int
SettingS,23,int
SettingH,2,int
SettingF,4,int
PhysicsEstablished,63,int
PhysicsNotEstablished,29,int
InsertionRepresentation,52,int
InsertionInference,8,int
InsertionObjective,6,int
InsertionSolver,6,int
InsertionAction,4,int
IrregularActionObservationCount,18,int
ForecastDynamicsCount,57,int
AcousticEndpointCount,11,int
DecisionControlCount,11,int
ActiveAgencyCount,7,int
AssuranceCount,2,int
FullTextPageAnchorCount,56,int
FullTextSectionAnchorCount,36,int
SingleExtractionCount,74,int
SplitExtractionCount,18,int
CoreOceanAcousticConfigCount,59,int
DirectOceanConfigCount,48,int
CoreOceanAcousticPhysicsCount,43,int
DirectOceanPhysicsCount,36,int
CoreOceanAcousticDecisionCount,0,int
CoreOceanAcousticAssuranceCount,0,int
BoundaryOfflineOperational,63,int
BoundarySimulationField,23,int
BoundaryControlledOpenOcean,2,int
BoundaryDeveloperIndependent,4,int
CountOZero,68,int
CountOOne,6,int
CountOTwo,15,int
CountOThree,3,int
CountCZero,29,int
CountCOne,14,int
CountCTwo,52,int
CountCThree,6,int
CountEZero,35,int
CountEOne,46,int
CountETwo,11,int
CountEThree,0,int
CountAZero,81,int
CountAOne,4,int
CountATwo,5,int
CountAThree,2,int
CountNZero,15,int
CountNOne,12,int
CountNTwo,73,int
CountNThree,2,int
